Question Number,Question,Category,Difficulty
1,What is the difference between compilation and interpretation?,General Programming,Medium
2,Explain the concept of polymorphism.,General Programming,Medium
3,Define encapsulation and give an example.,General Programming,Hard
4,"What is an abstract class, and how is it different from an interface?",General Programming,Medium
5,Describe the principles of Object-Oriented Programming (OOP).,General Programming,Medium
6,What is the purpose of a constructor?,General Programming,Medium
7,Explain the difference between stack and heap memory.,General Programming,Medium
8,"What is a design pattern, and can you name a few?",General Programming,Medium
9,"Define the term ""DRY"" in software development.",General Programming,Medium
10,What is the SOLID principle?,General Program,Hard
11,What is the difference between an array and a linked list?,Data Structures,Easy
12,Explain the time complexity of an algorithm.,Data Structures,Hard
13,Describe the difference between a binary search tree and a hash table.,Data Structures,Medium
14,What is a linked list and how does it work?,Data Structures,Medium
15,Explain the concept of recursion.,Data Structures,Medium
16,"What is Big O notation, and why is it important?",Data Structures,Medium
17,How do you perform a binary search on a sorted array?,Data Structures,Hard
18,Discuss the advantages and disadvantages of different sorting algorithms.,Data Structures,Medium
19,Explain how a hash table works.,Data Structures,Medium
20,What is dynamic programming?,Data Structures,Hard
21,What is the difference between Java and JavaScript?,Languages and Frameworks,Medium
22,Describe the MVC architectural pattern.,Languages and Frameworks,Medium
23,What is a RESTful API?,Languages and Frameworks,Medium
24,"Explain the use of ""this"" keyword in JavaScript.",Languages and Frameworks,Medium
25,What is a closure in programming?,Languages and Frameworks,Medium
26,What are the differences between Python 2 and Python 3?,Languages and Frameworks,Medium
27,Discuss the role of a package manager like npm or pip.,Languages and Frameworks,Hard
28,Explain the concept of multi-threading in Java.,Languages and Frameworks,Medium
29,What is a Singleton pattern?,Languages and Frameworks,Medium
30,What is a virtual function in C++?,Languages and Frameworks,Medium
31,"What is a database index, and why is it important?",Database and SQL,Medium
32,Explain the differences between SQL and NoSQL databases.,Database and SQL,Medium
33,What is a foreign key in a database?,Database and SQL,Medium
34,Describe the ACID properties in database transactions.,Database and SQL,Hard
